State,Value,CV (%)
INDIANA,26184000,45.4
INDIANA,76218,4.9
INDIANA,712,40.5
INDIANA,37248,8.7
INDIANA,10917,8.7
INDIANA,8336,11.5
INDIANA,16857,9.8
INDIANA,1316,40.2
INDIANA,65517,5.4
INDIANA,8270,12.7
INDIANA,1598,25.6
INDIANA,9653,8.1
INDIANA,12838,12
INDIANA,20419,10.7
INDIANA,10569,13.2
INDIANA,10572,11.1
INDIANA,11335,18.1
INDIANA,67402,5.3
INDIANA,461,28.4
INDIANA,32955,9.7
INDIANA,10199,9.1
INDIANA,7350,11
INDIANA,15598,10.2
INDIANA,840,27.3
INDIANA,59217,5
INDIANA,8185,17.4
INDIANA,15105,8.9
INDIANA,50045,7.7
INDIANA,58866,5.8
INDIANA,7053,14.2
INDIANA,1484,27
INDIANA,8132,7
INDIANA,11554,12.9
INDIANA,18094,11.5
INDIANA,9486,14.3
INDIANA,9733,11.6
INDIANA,10404,19.4
INDIANA,8816,12.5
INDIANA,4292,12.8
INDIANA,718,33.8
INDIANA,986,53.4
INDIANA,1259,33.6
INDIANA,6651,15.6
INDIANA,1218,25.6
INDIANA,1521,35.8
INDIANA,1284,31.4
INDIANA,2325,26.9
INDIANA,839,38.7
IOWA,1575,26.5
IOWA,57084000,23.7
IOWA,9916,9
IOWA,17473,7.7
IOWA,3736212000,1.8
IOWA,363668000,22.1
IOWA,117651000,9.3
IOWA,935817000,4.7
IOWA,1223164000,6.5
IOWA,418726000,7.7
IOWA,603549000,14.1
IOWA,2322963000,4.1
IOWA,758410000,10.1
IOWA,581201000,14.6
IOWA,2343174000,4
IOWA,157400000,10.1
IOWA,476640000,7.9
IOWA,37928000,21
IOWA,630442000,8.4
IOWA,16991000,26.1
IOWA,2813681000,1.7
IOWA,250069000,22.3
IOWA,94266000,10.9
IOWA,793806000,5.1
IOWA,944717000,5.6
IOWA,352798000,8.4
IOWA,378026000,16
IOWA,2520092000,1.6
IOWA,293590000,17
IOWA,840551000,7.1
IOWA,1797447000,3.3
IOWA,109741000,29.1
IOWA,1860486000,3.7
IOWA,569960000,10.4
IOWA,383235000,12
IOWA,1722289000,4.4
IOWA,139976000,11.1
IOWA,392890000,8.6
IOWA,35667000,21.7
IOWA,508138000,7.9
IOWA,14722000,29.8
IOWA,922530000,5.2
IOWA,23386000,15.2
IOWA,142011000,11.9
IOWA,278447000,20.9
IOWA,65928000,18.9
IOWA,462477000,14.1
IOWA,188450000,25.9
IOWA,620885000,8.7
IOWA,17424000,21.1
IOWA,83750000,19.8
IOWA,122304000,28.3
IOWA,2269000,24.1
IOWA,106097,3.5
IOWA,903,23.5
IOWA,25700,8.9
IOWA,29432,5.5
IOWA,19076,6.2
IOWA,24812,7.8
IOWA,4029,13.3
IOWA,84506,4.8
IOWA,15194,11.1
IOWA,4253,12.1
IOWA,30737,3.7
IOWA,12334,9.9
IOWA,23048,7.7
IOWA,6144,15.7
IOWA,23386,7.2
IOWA,8304,14.6
IOWA,83596,4.2
IOWA,537,21.1
IOWA,19940,10.9
IOWA,24865,6.2
IOWA,15016,6
IOWA,20585,8.8
IOWA,2653,15.1
IOWA,76955,4.3
IOWA,6640,13.7
IOWA,17322,6.8
IOWA,63305,4.4
IOWA,1831,33.1
IOWA,68547,5.7
IOWA,12183,13.1
IOWA,2866,13.2
IOWA,23954,4.1
IOWA,9287,11.7
IOWA,18763,8.6
IOWA,5335,16.8
IOWA,19868,8
IOWA,6390,17.6
IOWA,22501,5.1
IOWA,5761,12.6
IOWA,4567,11.6
IOWA,4060,18.8
IOWA,4227,15.2
IOWA,15959,6.9
IOWA,3011,18.3
IOWA,6783,8.7
IOWA,3047,18.8
IOWA,4285,17
IOWA,3519,16.7
IOWA,1913,24.2
KANSAS,1865,28.9
KANSAS,1984,28
KANSAS,303129000,16.3
KANSAS,20686,6.1
KANSAS,18229,8
KANSAS,1390135000,5.4
KANSAS,284615000,12.9
KANSAS,23955000,17.3
KANSAS,230750000,9.8
KANSAS,383811000,8.7
KANSAS,75842000,13.6
KANSAS,276943000,11.4
KANSAS,774331000,5
KANSAS,251545000,10.8
KANSAS,270473000,11.9
KANSAS,630088000,6.2
KANSAS,67293000,16.8
KANSAS,269269000,8
KANSAS,46355000,32.5
KANSAS,271138000,10
KANSAS,12207000,23
KANSAS,1044111000,3.4
KANSAS,192451000,12.3
KANSAS,20974000,19.4
KANSAS,200822000,11.1
KANSAS,314735000,10
KANSAS,65644000,15.3
KANSAS,229052000,13
KANSAS,953628000,3.7
KANSAS,90483000,16.8
KANSAS,456919000,8.7
KANSAS,531059000,6
KANSAS,41189000,27.3
KANSAS,622016000,5.7
KANSAS,221115000,11.6
KANSAS,200980000,11
KANSAS,484064000,6.2
KANSAS,54861000,19.9
KANSAS,232803000,8.9
KANSAS,42800000,35.1
KANSAS,218941000,11.6
KANSAS,10642000,26.1
KANSAS,346024000,19
KANSAS,92165000,30.5
KANSAS,2980000,24.5
KANSAS,29928000,12.6
KANSAS,69076000,16.1
KANSAS,10198000,20.3
KANSAS,47891000,20.8
KANSAS,152315000,10.2
KANSAS,30431000,28.4
KANSAS,69493000,33.8
